Sample Number	Sample	Substrate category	Food type	Metabolomics	Metagenomics	NFkB_bioassay	RNAseq	ingredients	producer	main ingredient	Sample notes	all_ingredients	main_ingredient_organic_status	producer	producer_country	dominant_fermentation_chemistry	foodon_high	foodon_mid	foodon_specific	foodon_parent_label	foodon_grandparent_label	foodon_lineage	foodon_specific_canonical_id
FF0036	Traditional Red Miso	Soy	Miso	yes	yes	2	2	organic soybeans, rice, salt, koji culture	Miso Master Organic	soybean		organic soybeans, rice, salt, koji culture	organic	Miso Master Organic	US	mixed koji/lactic acid/other	plant-based food product	fermented legume product	miso	miso food product	fermented soybean food product	miso > miso food product > fermented soybean food product > plant food product	FOODON:00003208
FF0062	Hornbacher cheese	dairy	cheese		yes	1	0	cow milk, salt, rennet, cheese cultures	unknown	milk		cow milk, salt, rennet, cheese cultures	not_organic	unknown	Switzerland	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0086	Fermented seaweed salad	Vegetable	pickled vegetable		yes	2	2	Blanched Kelp, Vegan Kimchi Juice (Napa Cabbage, Daikon Radish, Miso [Filtered Water, Rice, Soybeans, Sea Salt, Alcohol], Garlic, Salt, Red Pepper Powder, Sugar, Scallions, Onion, Ginger), Sugar, Ginger, Salt, Scallions, Sesame Oil, Sesame Seeds, Onion, Tamari (Water, Soybeans, Salt, Sugar)	Atlantic Sea Farms	kelp		Blanched Kelp, Vegan Kimchi Juice (Napa Cabbage, Daikon Radish, Miso [Filtered Water, Rice, Soybeans, Sea Salt, Alcohol], Garlic, Salt, Red Pepper Powder, Sugar, Scallions, Onion, Ginger), Sugar, Ginger, Salt, Scallions, Sesame Oil, Sesame Seeds, Onion, Tamari (Water, Soybeans, Salt, Sugar)	not_organic	Atlantic Sea Farms	US	lactic acid	marine plant-based food product	fermented vegetable product	lactic acid fermented vegetable	food (fermented)	food material by process	lactic acid fermented vegetable > food (fermented) > food material by process > plant food product	unknown
FF0091	MeeChun Salted black bean	Soy	douchi	yes	yes	1	0	black soybeans, salt	Mee Chun	soybean		black soybeans, salt	not_organic	Mee Chun	China	mixed koji/unknown	plant-based food product	fermented legume product	douchi	fermented bean product	bean food product	douchi > fermented bean product > bean food product > plant food product	unknown
FF0092	New York Natto Organic	Soy	natto	yes	yes	1	0	organic soybeans, Bacillus subtilis culture	New York Natto	soybean		organic soybeans, Bacillus subtilis culture	organic	New York Natto	US	alkaline	plant-based food product	fermented legume product	natto	fermented soybean food product	fermented bean product	nattō > fermented soybean food product > fermented bean product > plant food product	FOODON:00002870
FF0121	Straus organic kefir, plain	Dairy	kefir	yes	yes	3	3	Pasteurized Organic Lowfat Milk, Organic Sweet Cream Buttermilk, Live and Active Cultures: S. Thermophilus, Lb. Delbrueckii Bulgaricus, Lb. Casei, Lb. Acidophilus, Bifidobacterium, Lb. Rhamnosus, L. Cremoris, L. Lactis, L. Diacetylactis, Leuconostoc, Lb. Lactis.	Straus Family Creamery	milk		Pasteurized Organic Lowfat Milk, Organic Sweet Cream Buttermilk, Live and Active Cultures: S. Thermophilus, Lb. Delbrueckii Bulgaricus, Lb. Casei, Lb. Acidophilus, Bifidobacterium, Lb. Rhamnosus, L. Cremoris, L. Lactis, L. Diacetylactis, Leuconostoc, Lb. Lactis.	organic	Straus Family Creamery	US	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
FF0122	alexandre farms prebiotic kefir	Dairy	kefir	yes	yes	1	0	Organic 100% Grass-fed Lowfat Milk, Live and Active Cultures: Bifidobacterium: Lactis (4), Infantis. Lactobacillus: Delbrueckii (2), Acidophilus (3), Casei (2), Plantarum, Paracasei, Rhamnosus (3), Brevis. Lactococcus: Lactis (4). Streptococcus: Thermophillus. Leuconostoc: 	Alexandre Family Farms	milk		Organic 100% Grass-fed Lowfat Milk, Live and Active Cultures: Bifidobacterium: Lactis (4), Infantis. Lactobacillus: Delbrueckii (2), Acidophilus (3), Casei (2), Plantarum, Paracasei, Rhamnosus (3), Brevis. Lactococcus: Lactis (4). Streptococcus: Thermophillus. Leuconostoc: 	organic	Alexandre Family Farms	US	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
FF0123	kefirlab probiotic kefir	Dairy	kefir	yes	yes	3	2	Organic Whole Milk, Live & Active Probiotic Cultures: BIFIDOBACTERIUM: BIFIDUM, INFANTIS, LACTIS (2). LACTOBACILLUS: CASEI (5), ACIDOPHILUS (2), FERMENTUM, PLANTARUM, PARACASEI, RHAMNOSUS (3), DELBRUECKII (2). LEUCONOSTOC: MESENTEROIDES. STREPTOCOCCUS: THERMOPHILUS.	KefirLab	milk		Organic Whole Milk, Live & Active Probiotic Cultures: BIFIDOBACTERIUM: BIFIDUM, INFANTIS, LACTIS (2). LACTOBACILLUS: CASEI (5), ACIDOPHILUS (2), FERMENTUM, PLANTARUM, PARACASEI, RHAMNOSUS (3), DELBRUECKII (2). LEUCONOSTOC: MESENTEROIDES. STREPTOCOCCUS: THERMOPHILUS.	organic	KefirLab	US	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
FF0124	white mountain bulgarian yogurt	Dairy	yogurt	yes	yes	1	0	Grade A Pasteurized Whole Milk and Live Cultures (L. Acidophilus, L. Bulgaricus, S. Thermophilus, B. Bifidum)	White Mountain Foods	milk		Grade A Pasteurized Whole Milk and Live Cultures (L. Acidophilus, L. Bulgaricus, S. Thermophilus, B. Bifidum)	not_organic	White Mountain Foods	US	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0125	straus organic yogurt	Dairy	yogurt	yes	yes	1	2	Pasteurized Organic Whole Milk, Organic Sweet Cream Buttermilk, Living Yogurt Cultures: L. Acidophilus, L. Bulgaricus, S. Thermophilus and Bifi­dobacterium Lactis.	Straus Family Creamery	milk		Pasteurized Organic Whole Milk, Organic Sweet Cream Buttermilk, Living Yogurt Cultures: L. Acidophilus, L. Bulgaricus, S. Thermophilus and Bifi­dobacterium Lactis.	organic	Straus Family Creamery	US	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0126	nancy's probiotic whole milk yogurt	Dairy	yogurt	yes	yes	1	0	Organic Pasteurized Whole Milk, Organic Pasteurized Nonfat Milk, Live Yogurt Cultures: S. Thermophilus, L. Bulgaricus. Live Probiotic Cultures: Bifidobacterium Lactis BB-12, L. Acidophilus LA-5, L. Rhamnosus LB3, L. Casei (2 Isolated Strains), L. Rhamnosus (2 Isolated Strains), L. Acidophilus (2 Isolated Strains), Bifidobacterium Lactis (2 Isolated Strains).	Nancy’s	milk		Organic Pasteurized Whole Milk, Organic Pasteurized Nonfat Milk, Live Yogurt Cultures: S. Thermophilus, L. Bulgaricus. Live Probiotic Cultures: Bifidobacterium Lactis BB-12, L. Acidophilus LA-5, L. Rhamnosus LB3, L. Casei (2 Isolated Strains), L. Rhamnosus (2 Isolated Strains), L. Acidophilus (2 Isolated Strains), Bifidobacterium Lactis (2 Isolated Strains).	organic	Nancy’s	US	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0127	bellwether farms a2 organic whole milk yogurt	Dairy	yogurt	yes	yes	1	0	organic A2 milk, live active cultures: S. thermophilus, L. bulgaricus, L. casei, L. acidophilus, Bifidus	Bellwether Farms	milk		organic A2 milk, live active cultures: S. thermophilus, L. bulgaricus, L. casei, L. acidophilus, Bifidus	organic	Bellwether Farms	US	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0128	alexandre family famr a2/a2 organic plain yogurt	Dairy	yogurt	yes	yes	3	2	Organic Milk, Organic Cream, and Live & Active Cultures: Streptococcus Thermophilus, Lactobacillus Delbrueckii Subsp. Bulgaricus, Lactobacillus Delbrueckii Subsp. Lactis, Lactobacillus Acidophilus, Bifidobacterium Lactis	Alexandre Family Farms	milk		Organic Milk, Organic Cream, and Live & Active Cultures: Streptococcus Thermophilus, Lactobacillus Delbrueckii Subsp. Bulgaricus, Lactobacillus Delbrueckii Subsp. Lactis, Lactobacillus Acidophilus, Bifidobacterium Lactis	organic	Alexandre Family Farms	US	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0129	la fermiere creamy whole milk yogurt	Dairy	yogurt	yes	yes	1	0	PASTEURIZED WHOLE MILK, PASTEURIZED CREAM, LIVE ACTIVE CULTURES (S. THERMOPHILUS, L. BULGARICUS)	La Fermière	milk		PASTEURIZED WHOLE MILK, PASTEURIZED CREAM, LIVE ACTIVE CULTURES (S. THERMOPHILUS, L. BULGARICUS)	not_organic	La Fermière	US	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0130	good culture cottage cheese	Dairy	cottage cheese	yes	yes	3	2	organic skim milk, organic whole milk, organic cream, sea salt, live and active cultures (Lactococcus ssp., Lactobacillus ssp.)	Good Culture	milk		organic skim milk, organic whole milk, organic cream, sea salt, live and active cultures (Lactococcus ssp., Lactobacillus ssp.)	organic	Good Culture	US	lactic acid	animal-based food product	fresh cheese	cottage cheese	uncured cow milk cheese food product	cow milk cheese	cottage cheese > uncured cow milk cheese food product > cow milk cheese > animal food product	FOODON:03301605
FF0131	vermont creamery creme fraiche	Dairy	creme fraiche	yes	yes	1	0	Pasteurized Cultured Cream	Vermont Creamery	milk		Pasteurized Cultured Cream	not_organic	Vermont Creamery	US	lactic acid	animal-based food product	fermented cream product	crème fraîche	27150 - sour cream products (efsa foodex2)	26910 - fermented milk or cream (efsa foodex2)	27160 - sour cream, plain (efsa foodex2) > 27150 - sour cream products (efsa foodex2) > 26910 - fermented milk or cream (efsa foodex2) > animal food product	FOODON:03542716
FF0132	good culture cream cheese spread	Dairy	cream cheese		yes	1	0	cream, nonfat milk, sea salt, live and active cultures (Bifidobacterium spp.)	Good Culture	milk		cream, nonfat milk, sea salt, live and active cultures (Bifidobacterium spp.)	not_organic	Good Culture	US	lactic acid	animal-based food product	fresh cheese	cream cheese	uncured cow milk cheese food product	cow milk cheese	cream cheese > uncured cow milk cheese food product > cow milk cheese > animal food product	FOODON:03301889
FF0133	le chatelain camembert	Dairy	cheese	yes	yes	1	0	PASTEURIZED COWS MILK, CHEESE CULTURES, SALT, ENZYMES	Le Châtelain	milk		PASTEURIZED COWS MILK, CHEESE CULTURES, SALT, ENZYMES	not_organic	Le Châtelain	France	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0134	jasper hill farm willoughby	Dairy	cheese	yes	yes	1	0	pasteurized cow milk, salt, rennet (animal), and cheese cultures	Jasper Hill Farm	milk		pasteurized cow milk, salt, rennet (animal), and cheese cultures	not_organic	Jasper Hill Farm	US	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0136	rivoir-jacques vache comte	Dairy	cheese	yes	yes	1	0	raw cow’s milk, salt, cultures, rennet	Rivoire-Jacquemin	milk		raw cow’s milk, salt, cultures, rennet	not_organic	Rivoire-Jacquemin	France	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0137	le gryuere switzerland	Dairy	cheese	yes	yes	3	3	raw cow’s milk, salt, cultures, rennet	Le Gruyere	milk		raw cow’s milk, salt, cultures, rennet	not_organic	Le Gruyere	Switzerland	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0138	beemster aged gouda	Dairy	cheese	yes	yes	1	0	cow’s milk, salt, cultures, rennet	Beemster	milk		cow’s milk, salt, cultures, rennet	not_organic	Beemster	Netherlands	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0139	taleggio	Dairy	cheese	yes	yes	1	1	cow’s milk, salt, cultures, rennet	Sorella	milk		cow’s milk, salt, cultures, rennet	not_organic	Sorella	Italy	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0140	Cultured Beets with fennel	Vegetable	pickled vegetable	yes	yes	2	2	Organic beets, organic fennel, salt	Cultured Pickle	beet		Organic beets, organic fennel, salt	organic	Cultured Pickle	US	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented vegetable	food (fermented)	food material by process	lactic acid fermented vegetable > food (fermented) > food material by process > plant food product	unknown
FF0141	local culture beet + fennel	Vegetable	pickled vegetable	yes	yes	2	2	Organic cabbage, organic beets, organic fennel, sea salt	Local Culture	cabbage		Organic cabbage, organic beets, organic fennel, sea salt	organic	Local Culture	US	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented vegetable	food (fermented)	food material by process	lactic acid fermented vegetable > food (fermented) > food material by process > plant food product	unknown
FF0142	Sinto Gourmet kraut-chi crunchy beet	Vegetable	sauerkraut	yes	yes	2	2	Green Cabbage, Red Beet, Water, Sea Salt, Organic Apple Juice, Yellow Onion, Ginger	Sinto Gourmet	cabbage		Green Cabbage, Red Beet, Water, Sea Salt, Organic Apple Juice, Yellow Onion, Ginger	organic	Sinto Gourmet	US	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0143	wild west ferments moroccan beets	Vegetable	pickled vegetable	yes	yes	2	2	organic beets, organic red cabbage, organic lemon, organic onion, organic garlic, organic cumin, organic parsley, organic mint, unrefined sea salt	Wild West Ferments	beet		organic beets, organic red cabbage, organic lemon, organic onion, organic garlic, organic cumin, organic parsley, organic mint, unrefined sea salt	organic	Wild West Ferments	US	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented vegetable	food (fermented)	food material by process	lactic acid fermented vegetable > food (fermented) > food material by process > plant food product	unknown
FF0144	wildbrine red beet & cabbage	Vegetable	sauerkraut	yes	yes	2	2	Organic Red Cabbage, Organic Red Beets, Organic Pears, Sea Salt, Organic Spices, Organic Garlic	Wildbrine	cabbage		Organic Red Cabbage, Organic Red Beets, Organic Pears, Sea Salt, Organic Spices, Organic Garlic	organic	Wildbrine	US	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0145	wild west ferments simply sauerkraut	Vegetable	sauerkraut	yes	yes	3	4	organic cabbage, unrefined sea salt	Wild West Ferments	cabbage		organic cabbage, unrefined sea salt	organic	Wild West Ferments	US	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0146	wild west ferments signature sauerkraut	Vegetable	sauerkraut	yes	yes	3	3	organic cabbage, unrefined sea salt, organic cumin, organic coriander	Wild West Ferments	cabbage		organic cabbage, unrefined sea salt, organic cumin, organic coriander	organic	Wild West Ferments	US	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0147	wild west ferments limited edition saerkraut, green garlic	Vegetable	sauerkraut	yes	yes	1	0	organic cabbage, unrefined sea salt, green garlic	Wild West Ferments	cabbage		organic cabbage, unrefined sea salt, green garlic	organic	Wild West Ferments	US	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0148	wild west erments el curtido	Vegetable	sauerkraut	yes	yes	1	0	organic carrot, organic radish, organic cabbage, organic jalapeño, organic onion, unrefined sea salt, organic garlic, organic herbs and spices	Wild West Ferments	carrot		organic carrot, organic radish, organic cabbage, organic jalapeño, organic onion, unrefined sea salt, organic garlic, organic herbs and spices	organic	Wild West Ferments	US	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0149	wildbrine raw organic kraut	Vegetable	sauerkraut	yes	yes	3	3	Organic Green Cabbage, Sea Salt, Organic Garlic	Wildbrine	cabbage		Organic Green Cabbage, Sea Salt, Organic Garlic	organic	Wildbrine	US	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0150	sonoma brinery raw sauerkraut	Vegetable	sauerkraut	yes	yes	1	0	cabbage, salt	Sonoma Brinery	cabbage		cabbage, salt	not_organic	Sonoma Brinery	US	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0151	farmhouse culture kraut	Vegetable	sauerkraut	yes	yes	1	0	cabbage, salt	Farmhouse Culture	cabbage		organic cabbage, salt	organic	Farmhouse Culture	US	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0152	cultured raw vintage kraut	Vegetable	sauerkraut	yes	yes	1	1	organic green cabbage, caraway seed, juniper berries, organic green apples, sea salt	Cultured Pickle	cabbage													
FF0153	britt's pickles	Fruit	dill pickle	yes	yes	1	1	Cucumbers, Filtered Water, Onion*, Garlic*, Dill Seed, Sea Salt, Mustard Seed, White Peppercorns, Coriander, Bay Leaves, Turmeric	Britt’s Pickles	cucumber		Cucumbers, Filtered Water, Onion*, Garlic*, Dill Seed, Sea Salt, Mustard Seed, White Peppercorns, Coriander, Bay Leaves, Turmeric	not_organic	Britt’s Pickles	US	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented cucumber	food (fermented)	food material by process	lactic acid fermented cucumber > food (fermented) > food material by process > plant food product	unknown
FF0154	sonoma brinery fresh pickles, manhatton style	Fruit	dill pickle	yes	yes	1	1	Cucumbers, Water, Salt, Garlic, Spices	Sonoma Brinery	cucumber		Cucumbers, Water, Salt, Garlic, Spices	not_organic	Sonoma Brinery	US	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented cucumber	food (fermented)	food material by process	lactic acid fermented cucumber > food (fermented) > food material by process > plant food product	unknown
FF0155	bubbie's baby kosher dill pickles	Fruit	dill pickle	yes	yes	1	2	Cucumbers, Water, Salt, Garlic, Dill, Spices, Mustard Seed, Calcium Chloride	Bubbie’s	cucumber		Cucumbers, Water, Salt, Garlic, Dill, Spices, Mustard Seed, Calcium Chloride	not_organic	Bubbie’s	US	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented cucumber	food (fermented)	food material by process	lactic acid fermented cucumber > food (fermented) > food material by process > plant food product	unknown
FF0156	cultured classic dills	Fruit	dill pickle	yes	yes	1	1	organic cucumbers, sea salt, organic garlic, organic dill, organic mustard seeds, organic peppercorns	Cultured Pickle	cucumber		organic cucumbers, sea salt, organic garlic, organic dill, organic mustard seeds, organic peppercorns	organic	Cultured Pickle	US	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented cucumber	food (fermented)	food material by process	lactic acid fermented cucumber > food (fermented) > food material by process > plant food product	unknown
FF0157	sinto gourmet kimchi (mild white)	Vegetable	kimchi	yes	yes	1	1	napa cabbage, organic apple juice, carrot, yellow oniopn, radish, sea salt, garlic, ginger, kelp powder	Sinto Gourmet	cabbage		napa cabbage, organic apple juice, carrot, yellow oniopn, radish, sea salt, garlic, ginger, kelp powder	organic	Sinto Gourmet	US	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0158	jongga mat kimchi	Vegetable	kimchi	yes	yes	1	1	Cabbage, Radish, Rice Paste(Rice Powder, Water), Salt, Red Pepper Powder, Garlic, Kelp Base Sauce (Kelp extract, Sorbitol (E412)), Chives, Leek, High fructose corn syrup, Fermented Anchovy Sauce (Anchovy, Salt),  Onion, Fermented Shrimp Sauce (Crustaceans, Salt), Lactic acid bacteria, Ginger  	Jongga	cabbage		Cabbage, Radish, Rice Paste(Rice Powder, Water), Salt, Red Pepper Powder, Garlic, Kelp Base Sauce (Kelp extract, Sorbitol (E412)), Chives, Leek, High fructose corn syrup, Fermented Anchovy Sauce (Anchovy, Salt),  Onion, Fermented Shrimp Sauce (Crustaceans, Salt), Lactic acid bacteria, Ginger  	not_organic	Jongga	Korea	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0159	mother in law's kimchi, vegan	Vegetable	kimchi	yes	yes	1	0	napa cabbage, yellow onion, green onion, red chile pepper flakes, salt, fresh peeled garlic, fresh ginger, organic sugar	Mother-in-Law’s	cabbage		napa cabbage, yellow onion, green onion, red chile pepper flakes, salt, fresh peeled garlic, fresh ginger, organic sugar	organic	Mother-in-Law’s	US	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0160	mother in laow's kimchi, house	Vegetable	kimchi	yes	yes	1	1	Napa cabbage, yellow, onion, green onion, red chile pepper flakes, less than 2% of: salt, fresh peeled garlic, fresh ginger, organic sugar, fish sauce (anchovies, salt), salted shrimp, beef bone broth	Mother-in-Law’s	cabbage		Napa cabbage, yellow, onion, green onion, red chile pepper flakes, less than 2% of: salt, fresh peeled garlic, fresh ginger, organic sugar, fish sauce (anchovies, salt), salted shrimp, beef bone broth	organic	Mother-in-Law’s	US	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0161	queens beachu kimchi	Vegetable	kimchi	yes	yes	1	0	Napa Cabbage, Organic Korean Mu Radish, Organic Scallion, Fresno Pepper, Gochugaru, Organic Asian Pear, Organic Fuji Apple, Organic Yellow Onion, Anchovy Broth (Dried Anchovy, Dried Dipori, Dried Dashima, Dried Shrimp, Dried Shiitake, Organic Leek, Organic Yellow Onion, Korean Mu Radish, Organic Scallion), Fermented Anchovy, Fermented Sandlance Fish, Salted Shrimp, Ume Plum Syrup, Organic Garlic, Ginger, Dried Hawk's Claw Chili, Salt, Sweet Rice Flour.	Queens	cabbage		Napa Cabbage, Organic Korean Mu Radish, Organic Scallion, Fresno Pepper, Gochugaru, Organic Asian Pear, Organic Fuji Apple, Organic Yellow Onion, Anchovy Broth (Dried Anchovy, Dried Dipori, Dried Dashima, Dried Shrimp, Dried Shiitake, Organic Leek, Organic Yellow Onion, Korean Mu Radish, Organic Scallion), Fermented Anchovy, Fermented Sandlance Fish, Salted Shrimp, Ume Plum Syrup, Organic Garlic, Ginger, Dried Hawk's Claw Chili, Salt, Sweet Rice Flour.	organic	Queens	US	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0162	cultured napa cabbage kimchi	Vegetable	kimchi	yes	yes	1	1	Organic napa cabbage, organic carrots, organic green onion, organic apple, organic assorted chilis, organic rice flour, organic ginger, organic garlic, konbu, sea salt	Cultured Pickle	cabbage		Organic napa cabbage, organic carrots, organic green onion, organic apple, organic assorted chilis, organic rice flour, organic ginger, organic garlic, konbu, sea salt	organic	Cultured Pickle	US	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0163	cultured sweet white miso	Soy	Miso	yes	yes	1	0	organic soybeans, organic rice, salt, koji	Cultured Pickle	soybean		organic soybeans, organic rice, salt, koji	organic	Cultured Pickle	US	mixed koji/lactic acid/other	plant-based food product	fermented legume product	miso	miso food product	fermented soybean food product	miso > miso food product > fermented soybean food product > plant food product	FOODON:00003208
